 Autoroute , Societe , Departement , Sens , PR , Absc , Echangeur , Type , Nom gare , Date 1ere m.s. , Site 
A26       ,SANEF     ,Pas de Calais,*,18,380,NORDAUSQUES,Sur échangeur (diffuseur)                                                                           ,NORDAUSQUES (B)                         ,11-08-1983,Gare isolée
A26       ,SANEF     ,Pas de Calais,*,32,356,,Gare sur bretelle d'échangeur                                                                       ,L'AUDOMAROIS  B,20-12-1981,Gare isolée
A26       ,SANEF     ,Pas de Calais,*,32,716,,Barrière pleine voie sur l'autoroute                                                                ,SETQUES,11-08-1983,Gare principale d'un site de plusieurs gares
A26       ,SANEF     ,Pas de Calais,*,32,716,,Gare sur bretelle d'échangeur                                                                       ,AUDOMAROIS A,20-12-1981,Gare secondaire d'un site de plusieurs gares
A26       ,SANEF     ,Pas de Calais,*,40,600,THEROUANNE,Sur échangeur (diffuseur)                                                                           ,THEROUANNE,25-06-1990,Gare isolée
A26       ,SANEF     ,Pas de Calais,*,61,670,LILLERS,Sur échangeur (diffuseur)                                                                           ,LILLERS,20-12-1981,Gare isolée
A26       ,SANEF     ,Pas de Calais,*,73,612,LE BETHUNOIS,Sur échangeur (diffuseur)                                                                           ,LE BETHUNOIS,03-12-1976,Gare isolée
A26       ,SANEF     ,Pas de Calais,*,79,180,NOEUD-LES-MINES,Sur échangeur (diffuseur)                                                                           ,NOEUD-LES-MINES,,Gare isolée
A26       ,SANEF     ,Pas de Calais,*,85,40,LE LIEVINOIS AIX NOULETTE,Sur échangeur (diffuseur)                                                                           ,LE LIEVINOIS AIX NOULETTE,03-12-1976,Gare isolée
A26       ,SANEF     ,Pas de Calais,*,97,492,THELUS,Sur échangeur (diffuseur)                                                                           ,THELUS                                  ,23-09-1977,Gare isolée
A26       ,SANEF     ,Pas de Calais,*,126,360,MARQUION,Sur échangeur (diffuseur)                                                                           ,MARQUION,16-11-1982,Gare isolée
A26       ,SANEF     ,Nord,*,142,360,MASNIERES,Sur échangeur (diffuseur)                                                                           ,MASNIERES,27-07-1985,Gare isolée
A26       ,SANEF     ,Aisne,*,167,60,SAINT QUENTIN LA VALLEE,Sur échangeur (diffuseur)                                                                           ,ST QUENTIN NORD,27-07-1985,Gare isolée
A26       ,SANEF     ,Aisne,*,175,484,GAUCHY,Sur échangeur (diffuseur)                                                                           ,GAUCHY,29-11-1985,Gare isolée
A26       ,SANEF     ,Aisne,*,194,40,COURBES,Sur échangeur (diffuseur)                                                                           ,COURBES,07-07-1987,Gare isolée
A26       ,SANEF     ,Aisne,*,210,446,LAON-CHAMBRY,Sur échangeur (diffuseur)                                                                           ,LAON,07-07-1987,Gare isolée
A26       ,SANEF     ,Aisne,*,240,924,VALLEE DE L'AISNE,Sur échangeur (diffuseur)                                                                           ,VALLEE DE L' AISNE,24-03-1989,Gare isolée
A26       ,SANEF     ,Marne,*,253,793,,Barrière pleine voie sur l'autoroute                                                                ,COURCY,24-03-1989,Gare isolée
A26       ,SANEF     ,Marne,*,256,428,REIMS-LA NEUVILETTE,Sur échangeur (diffuseur)                                                                           ,REIMS LA NEUVILETTE,24-03-1989,Gare isolée
A26       ,SANEF     ,Marne,*,307,793,SAINT GIBRIEN,Sur échangeur (diffuseur)                                                                           ,SAINT GIBRIEN,30-06-1992,Gare isolée
A26       ,SANEF     ,Marne,*,314,963,MONT CHOISY,Sur échangeur (diffuseur)                                                                           ,MONTCHOISY,30-06-1992,Gare isolée
A26       ,SANEF     ,Marne,*,331,800,VATRY,Sur échangeur (diffuseur)                                                                           ,VATRY,01-01-2003,Gare isolée
A26       ,SANEF     ,Marne,*,336,218,SOMMESOUS,Sur échangeur (diffuseur)                                                                           ,SOMMESOUS,30-06-1992,Gare isolée
A26       ,SANEF     ,Aube,*,360,503,VALLEE DE L'AUBE,Sur échangeur (diffuseur)                                                                           ,VALLEE DE L' AUBE,30-06-1992,Gare isolée
A26       ,APRR      ,Aube,*,373,343,CHARMONT SOUS BARBUISE,Sur échangeur (diffuseur)                                                                           ,CHARMONT S BABUISE,30-06-1992,Gare isolée
A26       ,SANEF     ,Aube,*,373,343,CHARMONT SOUS BARBUISE,Sur échangeur (diffuseur)                                                                           ,CHARMONT S BABUISE,30-06-1992,Gare isolée
A26       ,APRR      ,Aube,*,387,142,THENNELIERE,Sur échangeur (diffuseur)                                                                           ,THENNELIERE,30-06-1992,Gare isolée
A28       ,COFIROUTE ,Indre et Loire,*,35,0,NEUILLE PONT PIERRE,Sur échangeur (diffuseur)                                                                           ,NEUILLE-PONT-PIERRE,15-12-2005,Gare isolée
A28       ,COFIROUTE ,Indre et Loire,*,46,980,,Barrière pleine voie sur l'autoroute                                                                ,SAINT CHRISTOPHE SUR LE NAIS,15-12-2005,Gare isolée
A28       ,COFIROUTE ,Sarthe,*,59,700,MONTABON,Sur échangeur (diffuseur)                                                                           ,CHATEAU-DU-LOIR LE-LUDE,15-12-2005,Gare isolée
A28       ,COFIROUTE ,Sarthe,*,75,596,ECOMMOY,Sur échangeur (diffuseur)                                                                           ,ECOMMOY,27-10-2000,Gare isolée
A28       ,COFIROUTE ,Sarthe,*,91,172,PARIGNE-L'EVEQUE,Sur échangeur (diffuseur)                                                                           ,PARIGNE L'EVEQUE,21-12-2006,Gare isolée
A28       ,COFIROUTE ,Sarthe,*,96,532,AUVOURS,Sur échangeur (diffuseur)                                                                           ,LE MANS CENTRE,27-10-2000,Gare isolée
A28       ,COFIROUTE ,Sarthe,*,128,965,MARESCHE,Sur échangeur (diffuseur)                                                                           ,BEAUMONT S/SARTHE,27-10-2000,Gare isolée
A28       ,COFIROUTE ,Sarthe,*,142,910,ROUESSE-FONTAINE,Sur échangeur (diffuseur)                                                                           ,MAMERS,21-12-2006,Gare isolée
A28       ,COFIROUTE ,Sarthe,*,153,285,ARCONNAY,Sur échangeur (diffuseur)                                                                           ,ALENCON SUD,22-06-2001,Gare isolée
